Relation;p-value;(Conditional) Independence Holds
x0 _||_ x1;0.0;False
x0 _||_ x1 | ['x2', 'x3', 'x4'];0.0;False
x0 _||_ x1 | ['x2', 'x3'];0.0;False
x0 _||_ x1 | ['x2', 'x4'];0.0;False
x0 _||_ x1 | ['x2'];0.0;False
x0 _||_ x1 | ['x3', 'x4'];0.0;False
x0 _||_ x1 | ['x3'];0.0;False
x0 _||_ x1 | ['x4'];0.0;False
x0 _||_ x2;0.0;False
x0 _||_ x2 | ['x1', 'x3', 'x4'];0.9581508239859358;True
x0 _||_ x2 | ['x1', 'x3'];0.17376418941396102;True
x0 _||_ x2 | ['x1', 'x4'];0.7341589981153036;True
x0 _||_ x2 | ['x1'];0.1587438008929582;True
x0 _||_ x2 | ['x3', 'x4'];5.816112627080706e-80;False
x0 _||_ x2 | ['x3'];6.460975778638006e-226;False
x0 _||_ x2 | ['x4'];5.525480512718089e-37;False
x0 _||_ x3;0.0;False
x0 _||_ x3 | ['x1', 'x2', 'x4'];0.46894550443570016;True
x0 _||_ x3 | ['x1', 'x2'];0.020593811998729946;False
x0 _||_ x3 | ['x1', 'x4'];0.42476821023139566;True
x0 _||_ x3 | ['x1'];0.019047149705326148;False
x0 _||_ x3 | ['x2', 'x4'];5.405433273843488e-82;False
x0 _||_ x3 | ['x2'];1.4596086086602597e-230;False
x0 _||_ x3 | ['x4'];5.056530862066555e-39;False
x0 _||_ x4;0.0;False
x0 _||_ x4 | ['x1', 'x2', 'x3'];0.19104764930197451;True
x0 _||_ x4 | ['x1', 'x2'];0.01051189025622884;False
x0 _||_ x4 | ['x1', 'x3'];0.059291152029353235;True
x0 _||_ x4 | ['x1'];0.003716283300528285;False
x0 _||_ x4 | ['x2', 'x3'];0.11408838879208048;True
x0 _||_ x4 | ['x2'];4.0523913973203565e-151;False
x0 _||_ x4 | ['x3'];1.6853827163606228e-148;False
x1 _||_ x2;0.0;False
x1 _||_ x2 | ['x0', 'x3', 'x4'];0.0;False
x1 _||_ x2 | ['x0', 'x3'];0.0;False
x1 _||_ x2 | ['x0', 'x4'];3.2776824563957255e-163;False
x1 _||_ x2 | ['x0'];0.0;False
x1 _||_ x2 | ['x3', 'x4'];0.0;False
x1 _||_ x2 | ['x3'];0.0;False
x1 _||_ x2 | ['x4'];2.6846133199025476e-198;False
x1 _||_ x3;0.0;False
x1 _||_ x3 | ['x0', 'x2', 'x4'];0.0;False
x1 _||_ x3 | ['x0', 'x2'];0.0;False
x1 _||_ x3 | ['x0', 'x4'];3.988460863710474e-142;False
x1 _||_ x3 | ['x0'];0.0;False
x1 _||_ x3 | ['x2', 'x4'];0.0;False
x1 _||_ x3 | ['x2'];0.0;False
x1 _||_ x3 | ['x4'];3.935431627151935e-179;False
x1 _||_ x4;0.0;False
x1 _||_ x4 | ['x0', 'x2', 'x3'];0.7012247434976606;True
x1 _||_ x4 | ['x0', 'x2'];0.0;False
x1 _||_ x4 | ['x0', 'x3'];0.0;False
x1 _||_ x4 | ['x0'];0.0;False
x1 _||_ x4 | ['x2', 'x3'];0.33377923340388693;True
x1 _||_ x4 | ['x2'];0.0;False
x1 _||_ x4 | ['x3'];0.0;False
x2 _||_ x3;0.0;False
x2 _||_ x3 | ['x0', 'x1', 'x4'];0.0;False
x2 _||_ x3 | ['x0', 'x1'];0.03681670943607431;False
x2 _||_ x3 | ['x0', 'x4'];0.0;False
x2 _||_ x3 | ['x0'];0.0;False
x2 _||_ x3 | ['x1', 'x4'];0.0;False
x2 _||_ x3 | ['x1'];0.033991960110946684;False
x2 _||_ x3 | ['x4'];1.1255635654425946e-305;False
x2 _||_ x4;0.0;False
x2 _||_ x4 | ['x0', 'x1', 'x3'];0.0;False
x2 _||_ x4 | ['x0', 'x1'];0.0;False
x2 _||_ x4 | ['x0', 'x3'];0.0;False
x2 _||_ x4 | ['x0'];0.0;False
x2 _||_ x4 | ['x1', 'x3'];0.0;False
x2 _||_ x4 | ['x1'];0.0;False
x2 _||_ x4 | ['x3'];0.0;False
x3 _||_ x4;0.0;False
x3 _||_ x4 | ['x0', 'x1', 'x2'];0.0;False
x3 _||_ x4 | ['x0', 'x1'];0.0;False
x3 _||_ x4 | ['x0', 'x2'];0.0;False
x3 _||_ x4 | ['x0'];0.0;False
x3 _||_ x4 | ['x1', 'x2'];0.0;False
x3 _||_ x4 | ['x1'];0.0;False
x3 _||_ x4 | ['x2'];0.0;False
